director,number_of_movies,avg_rating,avg_metascore
"Clint Eastwood",8,7.2,67.88
"David Yates",9,7.56,71.33
"James Bobin",5,6.2,51.00
"Jordan Peele",6,7.13,81.00
"Ken Russell",5,6.68,62.60
"Kenneth Branagh",6,6.82,68.33
"Martin Scorsese",9,7.82,83.56
"Matt Bettinelli-Olpin",6,6.57,61.67
"Oliver Stone",6,6.98,63.83
"Peter Jackson",5,8.36,85.00
"Ridley Scott",7,6.6,60.57
"Robert Eggers",9,7.11,79.44
"Ron Howard",7,7.7,65.00
"Stephen Frears",6,7.02,70.17
"Steven Spielberg",8,7.64,76.38
"Tim Burton",8,7.11,62.50
